event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,flood_event_id,KSI_fast,KSI_slow,KSI_combined
ctrl_0038,07/13/2023,CAGUAS CO.,18.2361,-66.0219,0,None,10.295,1.91,0.0,0.0,66.425,29.61,0.0,62,0.36,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,632073,10.55349039098193,63.957466582369634,31.91508086753701
ctrl_0039,01/21/2024,CAGUAS CO.,18.2307,-66.0321,0,None,0.045,0.0,0.0,0.0,0.0,0.0,0.045,75,1.73,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,632070,0.045,0.06409677805546275,0.0526387112221851
ctrl_0040,10/22/2016,PENUELAS CO.,18.0881,-66.6958,0,None,0.025,3.7,0.555,50.315,62.58,0.0,3.31,225,7.39,Caguabo,"Caguabo gravelly clay loam, 20 to 60 percent slopes",1,632364,0.5359057275587146,73.1714085008438,29.59010683687275
ctrl_0041,11/06/2022,SABANA GRANDE CO.,18.0318,-66.8988,0,None,0.32,94.565,34.845,1.48,0.58,4.515,9.615,61,1.29,Fraternidad,"Fraternidad clay, 2 to 5 perecent slopes",1,632367,13.756189496348222,116.06382668707825,54.679244372640234
ctrl_0042,10/05/2019,AGUADILLA CO.,18.4795,-67.1532,0,None,21.81,1.145,0.0,27.115,25.06,1.395,48.06,76,2.08,Urban land,Urban land,1,632773,21.96495889930592,75.69645095599914,43.45755572198321
ctrl_0043,11/01/2018,AGUADILLA CO.,18.4699,-67.125,0,None,0.105,0.0,0.28,2.38,0.44,0.375,0.71,90,3.1,Coto,"Coto clay, 2 to 5 percent slopes",1,632819,0.11012837888884557,2.599197415432898,1.1057559935064667
ctrl_0044,02/19/2018,LUQUILLO CO.,18.3277,-65.7483,0,None,0.0,1.215,3.07,1.27,1.18,0.2,0.73,141,18.91,Naranjito,"Naranjito silty clay loam, 40 to 60 percent slopes",0,632822,0.22066138052089837,5.26168743422676,2.2370718020032427
ctrl_0045,10/05/2016,NAGUABO CO.,18.2185,-65.7821,0,None,21.155,48.99,36.905,0.135,0.355,1.31,4.58,11,0.82,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,632823,28.46101417895039,94.22996422300432,54.76859419657196
ctrl_0046,06/07/2017,FAJARDO CO.,18.3394,-65.6688,0,None,0.0,0.2,0.0,1.31,0.775,3.12,1.49,25,1.32,Fajardo,"Fajardo clay, 2 to 10 percent slopes, eroded",0,633046,0.027067056647322542,3.6241028077480824,1.4658813570876266
ctrl_0047,08/01/2023,FAJARDO CO.,18.32,-65.65,0,None,3.275,0.0,0.0,1.785,0.0,3.225,0.665,7,3.09,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,633052,3.275,6.29879851213928,4.484519404855712
ctrl_0048,10/17/2018,LUQUILLO CO.,18.35,-65.72,0,None,3.85,7.925,45.21,4.44,20.095,16.9,3.07,29,0.58,Rio Arriba,"Rio Arriba clay, 5 to 12 percent slopes, eroded",0,633053,5.7505821538098285,68.51077453537843,30.85465910643727
ctrl_0049,03/01/2016,NAGUABO CO.,18.22,-65.73,0,None,0.26,4.235,2.385,0.0,0.89,0.26,0.155,29,1.39,Cobbly alluvial land,Cobbly alluvial land,0,640321,0.8768277232566858,6.419159000578217,3.0937602341852983
ctrl_0050,01/22/2016,CIDRA CO.,18.193,-66.2015,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,11.44,Mucara,"Mucara clay, 20 to 40 percent slopes",1,658835,0.0,0.0,0.0
ctrl_0051,04/13/2019,PONCE CO.,17.9965,-66.6338,0,None,0.865,0.0,0.0,0.335,0.0,0.0,0.0,12,0.82,Urban land,Urban land,1,658831,0.865,1.0832320842729035,0.9522928337091614
ctrl_0052,02/08/2016,PONCE CO.,18.0061,-66.6267,0,None,0.0,0.0,0.305,0.0,0.0,0.0,0.0,11,1.29,Urban land,Urban land,1,658237,0.005586269861063925,0.2292005743879622,0.09503199167182325
ctrl_0053,01/17/2019,UTUADO CO.,18.2716,-66.7008,0,None,0.0,0.0,0.0,0.0,0.0,0.0,18.435,161,4.75,Lirios,"Lirios clay loam, 40 to 60 percent slopes",1,661451,0.0,7.823313410054572,3.1293253640218293
ctrl_0054,07/10/2024,SAN SEBASTIAN CO.,18.3295,-66.9869,0,None,27.81,18.52,2.485,0.915,0.0,5.335,17.615,68,0.73,Lares,"Lares clay, 5 to 20 percent slopes, eroded",1,661455,30.36192380818057,56.41509894464218,40.783193862765216
ctrl_0055,11/16/2018,SAN SEBASTIAN CO.,18.3118,-67.0078,0,None,10.415,17.53,12.095,6.38,0.0,0.0,0.365,113,0.82,Humatas,"Humatas clay, 12 to 20 percent slopes",1,661460,13.00895516749706,39.01156471808649,23.409998987732834
ctrl_0056,10/15/2021,TRUJILLO ALTO CO.,18.3363,-66.0097,0,None,17.85,3.705,22.87,8.635,41.515,6.78,0.0,30,3.66,Mucara,"Mucara clay, 20 to 40 percent slopes",1,663756,18.770295885777,70.63660985993513,39.51682147544025
ctrl_0057,12/26/2017,CABO ROJO CO.,18.03,-67.13,0,None,2.855,3.285,0.515,0.29,3.26,1.785,0.2,24,2.08,Urban land,Urban land,0,663761,3.309008959459971,9.078309542486972,5.616729192670771
ctrl_0058,01/26/2024,MAYAGUEZ CO.,18.1819,-67.1694,0,None,0.0,0.0,0.635,0.0,0.0,0.255,0.135,5,2.08,Leveled sandy land,Leveled sandy land,1,663762,0.011630430694346204,0.6593115384562179,0.2707028737990949
ctrl_0059,07/04/2015,SALINAS CO.,17.971,-66.2177,0,None,0.0,0.0,0.0,3.965,0.505,0.0,0.38,4,0.73,Paso Seco,"Paso Seco clay, 0 to 5 percent slopes",0,664147,0.0,3.0294001960817947,1.211760078432718
ctrl_0060,03/15/2023,MAYAGUEZ CO.,18.2383,-67.1612,0,None,0.0,0.0,0.275,0.0,0.0,0.0,0.0,21,4.73,Lares,"Lares clay, 0 to 5 percent slopes, eroded",1,664002,0.0050368006944019,0.20665625559570366,0.08568458265492261
ctrl_0061,03/03/2020,SAN SEBASTIAN CO.,18.346,-67.0033,0,None,0.98,0.46,0.0,0.0,0.505,0.0,2.9,74,2.85,Urban land,Urban land,1,664004,1.0422542302888418,2.894627737962157,1.783203633358168
ctrl_0062,01/12/2021,VEGA ALTA CO.,18.3943,-66.3506,0,None,0.0,0.0,0.0,0.0,0.0,0.0,1.345,133,11.18,Colinas,"Colinas clay loam, 40 to 60 percent slopes",1,664010,0.0,0.5707814774354978,0.22831259097419912
ctrl_0063,06/02/2016,COAMO CO.,18.097,-66.3648,0,None,1.195,29.315,18.77,2.21,0.0,4.08,8.295,165,3.59,Llanos,"Llanos clay, 5 to 12 percent slopes, eroded",0,664013,5.506138370022843,47.669937465226,22.371658008104106
ctrl_0064,04/07/2019,SAN SEBASTIAN CO.,18.3439,-67.0004,0,None,0.0,0.5,1.255,0.0,0.49,4.47,0.0,60,0.82,Santoni,Santoni clay,1,667350,0.09065376842366774,3.841506050687957,1.5909946813293836
ctrl_0065,11/26/2015,SAN SEBASTIAN CO.,18.3314,-66.9885,0,None,5.025,2.0,0.81,0.0,0.0,0.0,0.65,66,1.57,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",1,667352,5.310506233973101,7.643294756581363,6.2436216430164055
ctrl_0066,03/18/2021,SAN SEBASTIAN CO.,18.3261,-66.9868,0,None,0.0,0.0,0.0,0.0,0.0,0.0,5.155,84,6.02,Humatas,"Humatas clay, 20 to 40 percent slopes",1,667357,0.0,2.1876420194646773,0.8750568077858709
ctrl_0067,04/22/2018,SAN SEBASTIAN CO.,18.3285,-66.9853,0,None,0.305,23.085,0.965,1.375,16.43,13.85,7.4,66,6.07,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",1,667364,3.446889605044833,41.13661039511651,18.522777921073505
ctrl_0068,04/27/2024,SAN SEBASTIAN CO.,18.3194,-67.003,0,None,35.01,23.895,10.21,26.895,5.91,10.48,1.06,122,4.12,Humatas,"Humatas clay, 20 to 40 percent slopes",1,667376,38.43083926599283,89.83479993876729,58.99242353510262
ctrl_0069,01/25/2022,JUANA DIAZ CO.,18.0967,-66.5448,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,14.19,Reilly,Reilly gravelly loam,1,665874,0.0,0.0,0.0
ctrl_0070,12/15/2021,JUANA DIAZ CO.,17.9996,-66.5283,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.58,Urban land,"Urban land-Cortada complex, 0 to 2 percent slopes, occasionally flooded",1,665876,0.0,0.0,0.0
ctrl_0071,12/12/2024,YABUCOA CO.,18.0645,-65.8269,0,None,0.0,0.205,0.0,0.0,0.0,0.0,0.0,14,9.8,Teja,"Teja gravelly sandy loam, 12 to 40 percent slopes",0,665884,0.027743733063505603,0.17770996944878723,0.08773022761761826
ctrl_0072,09/06/2024,NAGUABO CO.,18.2154,-65.7755,0,None,0.14,0.87,0.13,1.45,3.995,0.71,0.0,33,8.99,Sabana,"Sabana silty clay loam, 40 to 60 percent slopes",0,666186,0.26012272947138854,4.54008593000891,1.9721080096863972
ctrl_0073,01/28/2019,VEGA ALTA CO.,18.4191,-66.3104,0,None,0.0,0.0,0.0,3.055,0.0,0.0,0.0,47,7.97,San Sebastian,"San Sebastian gravelly clay, 20 to 60 percent slopes",1,666332,0.0,1.9901463207573749,0.79605852830295
ctrl_0074,06/29/2021,HATILLO CO.,18.4779,-66.8058,0,None,1.78,15.03,0.35,9.35,6.705,0.0,0.195,48,0.73,Colinas,"Colinas clay loam, 12 to 20 percent slopes",1,681238,3.8204997806573457,25.032334786705977,12.3052337830768
ctrl_0075,03/05/2017,HATILLO CO.,18.4739,-66.7761,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.4,60,3.35,Colinas,"Colinas clay loam, 12 to 20 percent slopes",1,681254,0.0,0.16974913827078,0.067899655308312
ctrl_0076,12/02/2022,SAN SEBASTIAN CO.,18.3301,-66.9178,0,None,0.0,0.75,0.345,0.19,0.355,0.2,0.0,295,9.72,Soller,"Soller clay, 20 to 40 percent slopes",1,688401,0.10782035784407282,1.3315747770786555,0.5973221255379059
ctrl_0077,10/19/2015,CAROLINA CO.,18.4312,-66.0084,0,None,4.22,0.0,0.245,3.36,0.89,0.0,0.235,3,0.58,Urban land,Urban land,1,695346,4.224487331527739,7.19527391742878,5.412801965888155
ctrl_0078,07/14/2015,CAROLINA CO.,18.4187,-65.999,0,None,0.0,0.715,41.685,0.075,0.82,0.0,0.0,0,0.0,Made land,Made land,1,696260,0.8602521345910623,32.45707544952587,13.498981460564986
ctrl_0079,06/08/2022,CAROLINA CO.,18.3943,-65.9658,0,None,0.0,0.0,0.0,0.115,0.005,0.0,0.0,5,0.93,Made land,Made land,1,696261,0.0,0.07773908222611019,0.031095632890444078
ctrl_0080,07/29/2017,CAROLINA CO.,18.4276,-66.0133,0,None,0.0,0.07,3.445,6.835,6.995,0.0,0.0,1,0.58,Urban land,Urban land,1,696265,0.07257084579825213,11.052309949295914,4.464466487197317
ctrl_0081,09/09/2023,RIO GRANDE CO.,18.348,-65.7664,0,None,1.395,0.0,0.58,0.0,0.0,1.63,3.54,38,6.1,Humatas,"Humatas clay, 20 to 40 percent slopes",0,696266,1.4056230705554658,4.131089608757902,2.4958096858364405
ctrl_0082,04/07/2018,RIO GRANDE CO.,18.2913,-65.8145,0,None,0.0,0.475,0.0,1.16,0.0,3.235,0.0,880,14.17,Yunque,"Yunque-Moteado complex, 20 to 60 percent slopes",1,696270,0.06428425953739103,2.7511035777841037,1.139011986836076
ctrl_0083,11/30/2015,VEGA ALTA CO.,18.4025,-66.3411,0,None,0.45,34.93,4.605,0.23,5.32,0.99,0.57,69,15.04,San Sebastian,"San Sebastian gravelly clay, 20 to 60 percent slopes",1,696285,5.261604960537503,38.0712681301962,18.385470228400983
ctrl_0084,08/11/2024,NAGUABO CO.,18.2124,-65.7714,0,None,1.79,0.395,0.165,0.0,0.0,0.0,0.0,13,1.15,Coloso,"Coloso silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,696272,1.8464795172951032,2.256410523758744,2.0104519198805595
ctrl_0085,08/18/2017,FAJARDO CO.,18.3195,-65.656,0,None,0.02,88.05,5.33,0.245,0.84,0.0,0.51,9,0.26,Vega Baja,"Vega Baja silty clay loam, 0 to 3 percent slopes",0,696290,12.033894044260702,81.20436898797163,39.70208402174508
ctrl_0086,09/26/2024,COMERIO CO.,18.2376,-66.2065,0,None,11.685,0.0,0.28,2.235,5.765,4.315,7.565,238,15.02,Caguabo,"Caguabo-Rock outcrop complex, 20 to 60 percent slopes",1,696500,11.690128378888845,21.9297327475521,15.785970126354147
ctrl_0087,02/25/2016,SAN LORENZO CO.,18.1798,-65.9786,0,None,0.0,0.0,0.0,0.0,0.0,0.295,10.49,130,2.2,Pandura,"Pandura sandy loam, 12 to 20 percent slopes",1,698056,0.0,4.596085940720506,1.8384343762882027
ctrl_0088,04/13/2019,MAUNABO CO.,18.016,-65.9293,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.03,Reilly,Reilly soils,0,699780,0.0,0.0,0.0
ctrl_0089,02/19/2018,MAUNABO CO.,18.01,-65.9249,0,None,0.245,0.0,0.0,0.0,0.185,0.0,0.645,19,0.58,Coloso,"Coloso silty clay, 0 to 2 percent slopes, occasionally flooded",0,703582,0.245,0.6231933380330682,0.3962773352132273
ctrl_0090,02/08/2020,GUAYNABO CO.,18.4109,-66.1103,0,None,0.0,0.105,0.0,0.0,0.0,0.0,0.0,21,1.32,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,708505,0.014210204739844334,0.09102217947376906,0.04493499463341423
ctrl_0091,02/23/2022,SAN JUAN CO.,18.3905,-66.0715,0,None,0.16,0.0,0.0,0.0,0.0,0.54,0.0,24,2.32,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,709391,0.16,0.42435249616075466,0.2657409984643019
ctrl_0092,05/16/2024,SAN JUAN CO.,18.3923,-66.0731,0,None,0.0,0.0,0.0,0.535,0.0,0.0,10.295,26,2.31,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,708510,0.0,4.717438342023315,1.886975336809326
ctrl_0093,02/10/2019,GUAYNABO CO.,18.4012,-66.1049,0,None,0.0,0.0,0.0,0.0,1.075,0.0,0.0,21,2.66,Urban land,Urban land,1,708507,0.0,0.6070719811583412,0.24282879246333647
ctrl_0094,11/04/2016,AGUADA CO.,18.3717,-67.141,0,None,2.78,0.43,8.77,51.625,7.46,3.49,13.075,28,6.07,Rio Piedras,"Rio Piedras clay, 5 to 12 percent slopes, eroded",1,710792,2.998822324845942,54.84372724146135,23.736784291492107
ctrl_0095,03/04/2019,RIO GRANDE CO.,18.3516,-65.7938,0,None,0.0,0.0,0.0,0.995,1.68,9.03,1.065,204,11.24,Caguabo,"Caguabo clay loam, 20 to 60 percent slopes",0,710795,0.0,6.469426573661674,2.5877706294646696
ctrl_0096,01/02/2019,NAGUABO CO.,18.219,-65.7861,0,None,0.845,0.655,0.66,0.0,1.025,1.375,3.08,15,0.93,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,715762,0.9457329321865459,4.467804259399828,2.3545614630718585
ctrl_0097,05/15/2017,NAGUABO CO.,18.2367,-65.7601,0,None,0.0,0.41,0.0,2.125,4.35,4.445,39.56,73,5.75,Urban land,Urban land,0,715627,0.055487466127011206,23.16045421859562,9.297474167114457
ctrl_0098,07/15/2022,NAGUABO CO.,18.2195,-65.7911,0,None,1.295,0.875,0.49,0.0,0.235,2.45,1.09,23,3.02,Pandura,"Pandura loam, 12 to 40 percent slopes",0,715881,1.4223930358875156,4.216394262262533,2.5399935264375224
ctrl_0099,01/05/2018,NAGUABO CO.,18.2152,-65.7315,0,None,6.25,0.695,1.405,0.0,0.89,2.48,1.05,21,0.26,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,715793,6.369791494488117,10.070559669346101,7.850098764431311
ctrl_0100,11/21/2022,NAGUABO CO.,18.2008,-65.7268,0,None,1.95,0.16,0.82,0.355,1.215,0.56,22.18,6,0.73,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,715791,1.98667246920662,13.30903827441136,6.515618791288517
ctrl_0101,09/07/2022,GUAYNABO CO.,18.4046,-66.1066,0,None,6.32,2.22,15.65,4.025,14.005,0.41,0.0,15,2.43,Urban land,Urban land,1,715882,6.907084077393971,30.73672015977315,16.438938510345643
ctrl_0102,04/15/2022,GUAYNABO CO.,18.3991,-66.1089,0,None,4.935,0.0,0.0,0.0,0.0,0.0,0.0,19,3.28,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,715883,4.935,4.935,4.935
ctrl_0103,10/27/2015,LARES CO.,18.3147,-66.8956,0,None,10.465,12.565,22.89,1.86,7.95,7.25,0.38,293,15.12,Soller,"Soller-Limestone rockland complex, 20 to 40 percent slopes",1,715891,12.584732808031164,47.970260478968925,26.738943876406267
